algorithm,label,exploration,seed,mean_reward,std_reward,max_reward,min_reward,final_reward,conv_episode,n_episodes,train_time_s,ram_peak_mb
SAC,SAC-1,0.01,1,-130.57253652944803,80.54831608326292,-0.5908254777478346,-247.69121397009496,-224.008873,18,500,520.475829041563,252.859375
SAC,SAC-1,0.01,2,-137.60388059749806,74.54712999700693,-1.8909268122116456,-248.1959146950689,-124.955837,17,500,510.33681704103947,160.828125
SAC,SAC-1,0.01,3,-138.096047454679,75.12395793787036,-1.8371278715706432,-251.0581513569984,-1.653673,22,500,506.10819441638887,116.75
SAC,SAC-1,0.01,4,-133.0951388898517,72.53043197577203,-0.8571628061065257,-249.30254777517095,-129.459537,24,500,507.12540354114026,117.625
SAC,SAC-1,0.01,5,-130.16146891870676,67.49488230683697,-5.283120437059616,-251.29795179690163,-231.310848,21,500,505.97175787575543,112.640625
SAC,SAC-1,0.01,6,-127.1873314120412,68.88139769863321,-0.9508621005794875,-249.43530891671207,-246.271759,18,500,509.31674587447196,113.28125
SAC,SAC-1,0.01,7,-126.15855779542403,67.74019912338436,-0.6485507751984059,-247.0550283360947,-253.130193,18,500,506.67343979142606,116.59375
SAC,SAC-1,0.01,8,-126.21844821422879,67.80493264190186,-1.4645923958330003,-250.53005272798697,-127.784575,23,500,511.6545880837366,115.3125
SAC,SAC-1,0.01,9,-134.41780149168173,73.22033387593056,-3.003699867129408,-251.83215152940494,-125.806519,25,500,507.18027737457305,115.859375
SAC,SAC-1,0.01,10,-132.02156301320787,73.16488901440395,-0.3680067544794317,-248.57463180310677,-116.457303,20,500,507.4909326666966,105.90625
SAC,SAC-2,0.05,1,-130.53109376351512,80.6514282071528,-0.5121223100333651,-248.57854964263927,-222.095727,18,500,505.3672288330272,121.1875
SAC,SAC-2,0.05,2,-136.4635378546651,75.2090704191002,-0.6532833135207075,-248.441095817775,-123.493529,17,500,505.1691376250237,108.0
SAC,SAC-2,0.05,3,-138.21407600905113,75.08151904331865,-0.8834241117077241,-250.20791113273103,-1.032945,22,500,507.73671649955213,108.875
SAC,SAC-2,0.05,4,-132.36653021515062,72.74272893996728,-0.4379563919345441,-249.80489281663841,-130.126651,21,500,511.58060858305544,106.140625
SAC,SAC-2,0.05,5,-125.94229126382031,68.2328302201412,-0.4708615765486625,-248.16865622438306,-227.494236,21,500,507.80828808341175,109.71875
SAC,SAC-2,0.05,6,-126.12029628192174,68.23636724703368,-0.5727294172021046,-249.7212413358696,-368.194307,18,500,507.37242579087615,105.453125
SAC,SAC-2,0.05,7,-126.20538438887095,67.99480124420411,-1.7583442721560332,-250.11599634239397,-255.411301,16,500,503.0625247079879,103.8125
SAC,SAC-2,0.05,8,-126.25643702321008,68.71980511296823,-0.150512039509555,-250.7565095539369,-128.599275,19,500,504.76995854172856,107.484375
SAC,SAC-2,0.05,9,-131.58379601907842,73.10122585356794,-0.30519294119920715,-249.66349347933482,-121.940602,25,500,508.30217429157346,106.40625
SAC,SAC-2,0.05,10,-132.51459915640064,73.59205377039942,-0.25770561934853703,-249.3487945316196,-117.197077,20,500,507.2705795420334,105.53125
SAC,SAC-3,0.1,1,-130.3702226489674,80.9192245930012,-0.469167032178874,-249.77352156152313,-224.218756,18,500,507.8503631670028,117.375
SAC,SAC-3,0.1,2,-136.6389068024781,75.07307111625295,-0.8423753422783101,-248.2418797275185,-123.486522,17,500,508.55041129142046,108.578125
SAC,SAC-3,0.1,3,-137.2033153131478,75.74748358058326,-0.494207178262229,-249.2980911156799,-1.142628,22,500,508.2375082904473,106.5625
SAC,SAC-3,0.1,4,-132.15955218682583,72.74912997089235,-0.5019888330861667,-248.93242509343003,-128.709273,19,500,558.9641222506762,104.0
SAC,SAC-3,0.1,5,-125.5665141733366,67.85322014075382,-0.4344415076216103,-248.33788238868726,-224.618805,21,500,570.6703364579007,102.4375
SAC,SAC-3,0.1,6,-126.04614738116382,68.23878561419698,-0.730976475216286,-248.836517006044,-363.984913,21,500,576.3979305410758,101.171875
SAC,SAC-3,0.1,7,-126.03066619347226,68.33615040454426,-0.11614954355266704,-248.38387181750434,-252.899217,21,500,579.602105749771,102.046875
SAC,SAC-3,0.1,8,-126.13585901598734,68.20156437124241,-0.5505610711310682,-248.98078041273564,-126.988959,19,500,517.4744695425034,100.921875
SAC,SAC-3,0.1,9,-132.85303125859718,73.67044709702837,-0.7475075051730045,-250.48850310696218,-122.284286,24,500,548.1072089578956,103.28125
SAC,SAC-3,0.1,10,-132.1913944651209,73.40748630150341,-0.13950745763911385,-247.82570482445516,-117.722989,20,500,549.6994076669216,102.875
SAC,SAC-4,0.2,1,-131.68502678116332,81.92023251083108,-0.4020182025564971,-249.64187287803273,-225.720175,20,500,544.0468807080761,108.765625
SAC,SAC-4,0.2,2,-137.0183878425332,75.92770850857264,-0.4300838126585701,-250.18436449477738,-124.067641,18,500,548.7706972500309,101.03125
SAC,SAC-4,0.2,3,-136.68543036570892,75.38554700063405,-0.4242228189652596,-249.74439262692,-1.370661,22,500,549.6007935823873,101.015625
SAC,SAC-4,0.2,4,-132.2377624650047,72.78896955339987,-0.5921550773446995,-249.4062923726017,-129.256772,20,500,550.2926737498492,101.78125
SAC,SAC-4,0.2,5,-125.82880350382656,68.4052320270842,-0.4969532489700628,-248.42406740704126,-229.520207,21,500,556.1725877076387,99.703125
SAC,SAC-4,0.2,6,-126.2416754780526,68.98898848815762,-0.4613049170064526,-250.45783745578564,-355.061127,18,500,522.9484211243689,105.0
SAC,SAC-4,0.2,7,-132.17186748964536,73.86448090824989,-0.11792995180156468,-250.12862313467977,-254.618985,19,500,527.8470976250246,100.484375
SAC,SAC-4,0.2,8,-126.04756693236398,68.74265192814863,-0.09644883467115307,-250.1504443879052,-126.005582,19,500,545.3758441666141,104.5625
SAC,SAC-4,0.2,9,-132.98598634753722,73.21692466897908,-1.4215367759669741,-250.86181141621415,-124.068892,21,500,566.5827780831605,99.625
SAC,SAC-4,0.2,10,-131.73641330487928,73.39316299529911,-0.11984442439548401,-248.51878222970248,-120.218088,22,500,545.5952212912962,100.328125
SAC,SAC-5,auto,1,-130.27749679652877,80.11342604548373,-0.5760566238121791,-247.93290508930284,-220.489804,20,500,558.5816957913339,109.78125
SAC,SAC-5,auto,2,-136.54622982662096,74.8234169233916,-0.8011571942958428,-248.46630287300013,-123.403217,23,500,581.8076467914507,97.0625
SAC,SAC-5,auto,3,-138.2513839356092,75.01413135349736,-2.366132489392001,-250.26110582562058,-2.17787,20,500,520.3645074591041,104.703125
SAC,SAC-5,auto,4,-132.89067836593114,72.22569838918535,-0.8223429258623995,-249.8674085816582,-130.30832,23,500,506.3814078755677,101.921875
SAC,SAC-5,auto,5,-127.66941668787607,67.23348948414011,-3.730386222957104,-250.08928808195398,-225.87247,21,500,537.9797528749332,103.796875
SAC,SAC-5,auto,6,-125.85732978009712,67.6160290180435,-1.194115562116911,-248.12717811059602,-369.769731,21,500,539.8599884165451,101.953125
SAC,SAC-5,auto,7,-126.18705739076427,67.79885576351238,-0.28111378322003155,-247.28099967925286,-255.200509,22,500,541.3343425421044,101.578125
SAC,SAC-5,auto,8,-125.7089277075186,67.80010698326272,-0.6672034564430815,-247.53481514601194,-125.83754,23,500,541.8382042497396,99.984375
SAC,SAC-5,auto,9,-132.28236888171418,72.29462588455289,-2.324060893554949,-248.98442034528918,-122.190693,21,500,558.4818806247786,98.375
SAC,SAC-5,auto,10,-132.06912035367063,73.03633321279592,-0.22603779656479953,-248.03000557102064,-117.500042,20,500,506.8693704577163,100.9375
TD3,TD3-1,0.05,1,-134.6350027385128,80.56680104921402,-4.934275922500051,-253.95480012574794,-223.910569,24,500,454.682757332921,113.203125
TD3,TD3-1,0.05,2,-139.53959422506358,74.47799175647174,-4.264253845400766,-252.2902177504953,-127.103129,32,500,437.888226415962,113.046875
TD3,TD3-1,0.05,3,-141.93326819113943,77.23656749416085,-3.9970710309925415,-249.85618119321026,-3.97045,26,500,459.343849375844,118.5
TD3,TD3-1,0.05,4,-136.8927144300117,74.0810538309943,-4.652195774466727,-254.11279897506228,-131.764888,20,500,471.51092295814306,111.53125
TD3,TD3-1,0.05,5,-127.66645694758074,67.88206207017309,-2.465983265083403,-251.2657479009746,-226.426972,34,500,466.05712125077844,112.015625
TD3,TD3-1,0.05,6,-129.33094349442436,67.3935104535018,-4.928927289860029,-252.25865829655353,-350.198627,31,500,434.78333587478846,115.5
TD3,TD3-1,0.05,7,-131.28564071869698,69.3939309217096,-5.109121972756904,-252.74366350136359,-256.272201,40,500,436.21173508279026,117.671875
TD3,TD3-1,0.05,8,-138.694836720922,74.71319448934705,-7.3676936726586675,-254.74225334545346,-132.690302,31,500,452.7190268756822,118.78125
TD3,TD3-1,0.05,9,-137.83916031867983,75.73076612866747,-0.9303674922706855,-248.58874594058867,-122.980012,39,500,445.76605995744467,117.046875
TD3,TD3-1,0.05,10,-138.5780417962619,75.1905543102233,-7.083333122971514,-280.9413347571246,-124.769687,35,500,459.18520149961114,113.65625
TD3,TD3-2,0.1,1,-137.64497495319472,80.1403756932303,-8.782992707816344,-255.74530134483055,-231.496835,24,500,466.74560220818967,123.328125
TD3,TD3-2,0.1,2,-137.37196608677704,76.23484242317208,-1.111012564696756,-274.29465848834957,-125.021677,19,500,424.41044262517244,115.09375
TD3,TD3-2,0.1,3,-140.7142482823472,76.23608096575653,-4.155274652621072,-252.53086836375186,-4.953654,26,500,418.79287958331406,113.921875
TD3,TD3-2,0.1,4,-138.69899835218803,72.68892216606454,-8.531959382067761,-255.75360910114378,-133.824031,20,500,441.65784816630185,111.1875
TD3,TD3-2,0.1,5,-125.28722917407069,67.71388041549697,-0.45895693222878187,-246.94380968863317,-222.157762,32,500,448.5518556255847,113.796875
TD3,TD3-2,0.1,6,-140.00956024085838,71.49320058003772,-13.486222014443563,-297.40384410593185,-359.210511,33,500,486.92859070841223,114.421875
TD3,TD3-2,0.1,7,-127.0752808639523,68.32873951015563,-2.0014505813290753,-258.042673887456,-289.575762,22,500,453.3510668342933,119.78125
TD3,TD3-2,0.1,8,-129.05452632880838,70.13260463590332,-2.75671761573675,-249.40834589923045,-130.337811,26,500,451.56592666730285,113.1875
TD3,TD3-2,0.1,9,-132.2485384045846,73.2611219852155,-1.0019349922144105,-250.21143033295454,-121.142227,34,500,469.8050488336012,113.515625
TD3,TD3-2,0.1,10,-139.70875057743575,77.88964702503777,-2.248968035660103,-251.4934996201929,-116.305622,30,500,476.7902760412544,113.3125
TD3,TD3-3,0.2,1,-132.2713740576788,84.2349054110056,-0.5093763046480221,-288.51299347940756,-222.705799,24,500,491.2600367497653,125.03125
TD3,TD3-3,0.2,2,-142.40284454825593,74.32210812066732,-7.776688976644363,-257.1346229977482,-130.477164,24,500,501.93542229104787,117.65625
TD3,TD3-3,0.2,3,-137.91234140351875,75.37567290056421,-1.711356856009709,-250.6171541620685,-1.75165,29,500,506.02293970808387,113.0625
TD3,TD3-3,0.2,4,-135.45644006711348,74.16381255875045,-3.097264595731682,-250.9127331535155,-131.872939,19,500,459.3095640419051,123.28125
TD3,TD3-3,0.2,5,-126.60497440822935,68.20427971533071,-2.018885434207253,-254.28404337173754,-228.314171,27,500,466.2374451253563,106.28125
TD3,TD3-3,0.2,6,-126.54666201019083,67.88016934968049,-2.454247312106266,-249.62624409152426,-347.450069,31,500,497.36153645813465,114.265625
TD3,TD3-3,0.2,7,-132.30255700148984,67.5003454118247,-8.053912345014663,-254.00437877562698,-300.223648,32,500,495.50844199955463,116.5625
TD3,TD3-3,0.2,8,-128.07617411514457,68.41120209574675,-2.2900173092582636,-249.09908345287894,-128.932348,26,500,484.9895297503099,111.890625
TD3,TD3-3,0.2,9,-135.8344834602466,75.70095609638348,-2.4816133044770377,-263.91645850275836,-123.41516,34,500,507.619340416044,116.03125
TD3,TD3-3,0.2,10,-141.14055090136407,78.93044032081563,-3.3753755610356797,-279.5394262408971,-119.209797,35,500,478.532130333595,110.90625
TD3,TD3-4,0.3,1,-131.93693901447205,82.50805410198248,-0.402117132550111,-270.83714712140363,-223.860672,24,500,477.43937529064715,124.046875
TD3,TD3-4,0.3,2,-137.73924605455252,76.01965710560889,-1.201199513089745,-273.51112170806493,-124.485266,28,500,462.00803762488067,110.890625
TD3,TD3-4,0.3,3,-143.33025995067987,77.82204549476903,-5.515576452807801,-287.93433603426627,-5.08109,23,500,466.76360816694796,109.578125
TD3,TD3-4,0.3,4,-135.29609656453903,72.72762012067699,-4.013363979997376,-254.047980495888,-132.540538,31,500,498.7146707503125,114.265625
TD3,TD3-4,0.3,5,-133.48366662948072,68.92794224038445,-8.947317319874244,-253.61575253648616,-239.571732,29,500,476.30813233274966,112.703125
TD3,TD3-4,0.3,6,-129.64716936273652,67.06825089894532,-3.359523580938334,-252.71340020853768,-345.819372,33,500,458.4658672083169,122.578125
